Recording	Participant	TOI	Interval	Media	AOI	Word_index	First-pass_duration	Total_duration_of_fixations
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	acabat	8	200	793
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	d'estrenar.	9	180	640
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	del	6	143	303
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	des	5	0	334
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	dron	7	0	457
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	el	3	0	150
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	nen	4	210	423
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	Van	1	0	0
Recording2	Participant1	ctrpp111_cat	1	ctrpp111_cat	veure	2	0	427
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	buscat	2	0	0
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	el	3	0	0
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	el	7	0	117
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	el	11		
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	fent	5	0	18
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	gos	4	0	137
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	Han	1	0	0
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	menjar	8	0	377
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	per	9	137	280
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	poble.	12		
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	servir	6	0	197
Recording2	Participant1	ctrpp112_cat	1	ctrpp112_cat	tot	10	147	300
Recording2	Participant1	ctrpp113_cat	1	ctrpp113_cat	en	4	0	363
Recording2	Participant1	ctrpp113_cat	1	ctrpp113_cat	en	7	0	463
Recording2	Participant1	ctrpp113_cat	1	ctrpp113_cat	Jordi	5	127	896
Recording2	Participant1	ctrpp113_cat	1	ctrpp113_cat	L'Èlia	1	0	0
Recording2	Participant1	ctrpp113_cat	1	ctrpp113_cat	passadís.	10	177	313
